waveform	[0]		[1]	
t0	01.01.2002  01:20:58,532025		01.01.2002  01:20:58,532026	
delta t	2,000000E-6		2,000000E-6	

time[0]	Y[0]	time[1]	Y[1]
01.01.2002  01:20:58,532025	1,408891E-1	01.01.2002  01:20:58,532026	6,377060E-3
01.01.2002  01:20:58,532027	1,154203E-1	01.01.2002  01:20:58,532028	6,586527E-3
01.01.2002  01:20:58,532029	8,576041E-2	01.01.2002  01:20:58,532030	6,699317E-3
01.01.2002  01:20:58,532031	6,077520E-2	01.01.2002  01:20:58,532032	6,828220E-3
01.01.2002  01:20:58,532033	3,466163E-2	01.01.2002  01:20:58,532034	6,908784E-3
01.01.2002  01:20:58,532035	9,354033E-3	01.01.2002  01:20:58,532036	6,892671E-3
01.01.2002  01:20:58,532037	-1,724312E-2	01.01.2002  01:20:58,532038	6,779881E-3
01.01.2002  01:20:58,532039	-4,384027E-2	01.01.2002  01:20:58,532040	6,715430E-3
01.01.2002  01:20:58,532041	-7,253295E-2	01.01.2002  01:20:58,532042	6,538189E-3
01.01.2002  01:20:58,532043	-9,671217E-2	01.01.2002  01:20:58,532044	6,312609E-3
01.01.2002  01:20:58,532045	-1,225033E-1	01.01.2002  01:20:58,532046	6,054804E-3
01.01.2002  01:20:58,532047	-1,497453E-1	01.01.2002  01:20:58,532048	5,748660E-3
01.01.2002  01:20:58,532049	-1,745693E-1	01.01.2002  01:20:58,532050	5,361952E-3
01.01.2002  01:20:58,532051	-1,995544E-1	01.01.2002  01:20:58,532052	4,926906E-3
01.01.2002  01:20:58,532053	-2,232501E-1	01.01.2002  01:20:58,532054	4,443521E-3
01.01.2002  01:20:58,532055	-2,469457E-1	01.01.2002  01:20:58,532056	3,927910E-3
01.01.2002  01:20:58,532057	-2,685458E-1	01.01.2002  01:20:58,532058	3,363961E-3
01.01.2002  01:20:58,532059	-2,903071E-1	01.01.2002  01:20:58,532060	2,703336E-3
01.01.2002  01:20:58,532061	-3,122296E-1	01.01.2002  01:20:58,532062	2,058822E-3
01.01.2002  01:20:58,532063	-3,304446E-1	01.01.2002  01:20:58,532064	1,365971E-3
01.01.2002  01:20:58,532065	-3,512387E-1	01.01.2002  01:20:58,532066	6,247809E-4
01.01.2002  01:20:58,532067	-3,673582E-1	01.01.2002  01:20:58,532068	-1,002963E-4
01.01.2002  01:20:58,532069	-3,838000E-1	01.01.2002  01:20:58,532070	-8,737119E-4
01.01.2002  01:20:58,532071	-3,997583E-1	01.01.2002  01:20:58,532072	-1,727692E-3
01.01.2002  01:20:58,532073	-4,150718E-1	01.01.2002  01:20:58,532074	-2,581671E-3
01.01.2002  01:20:58,532075	-4,294181E-1	01.01.2002  01:20:58,532076	-3,532328E-3
01.01.2002  01:20:58,532077	-4,408629E-1	01.01.2002  01:20:58,532078	-4,354082E-3
01.01.2002  01:20:58,532079	-4,513406E-1	01.01.2002  01:20:58,532080	-5,288626E-3
01.01.2002  01:20:58,532081	-4,579496E-1	01.01.2002  01:20:58,532082	-6,223170E-3
01.01.2002  01:20:58,532083	-4,652033E-1	01.01.2002  01:20:58,532084	-7,189939E-3
01.01.2002  01:20:58,532085	-4,734243E-1	01.01.2002  01:20:58,532086	-8,140595E-3
01.01.2002  01:20:58,532087	-4,771317E-1	01.01.2002  01:20:58,532088	-9,107365E-3
01.01.2002  01:20:58,532089	-4,803556E-1	01.01.2002  01:20:58,532090	-1,009025E-2
01.01.2002  01:20:58,532091	-4,835795E-1	01.01.2002  01:20:58,532092	-1,104090E-2
01.01.2002  01:20:58,532093	-4,805168E-1	01.01.2002  01:20:58,532094	-1,197545E-2
01.01.2002  01:20:58,532095	-4,819676E-1	01.01.2002  01:20:58,532096	-1,294222E-2
01.01.2002  01:20:58,532097	-4,776153E-1	01.01.2002  01:20:58,532098	-1,394121E-2
01.01.2002  01:20:58,532099	-4,714899E-1	01.01.2002  01:20:58,532100	-1,484353E-2
01.01.2002  01:20:58,532101	-4,658481E-1	01.01.2002  01:20:58,532102	-1,577807E-2
01.01.2002  01:20:58,532103	-4,589167E-1	01.01.2002  01:20:58,532104	-1,671262E-2
01.01.2002  01:20:58,532105	-4,495675E-1	01.01.2002  01:20:58,532106	-1,759882E-2
01.01.2002  01:20:58,532107	-4,368331E-1	01.01.2002  01:20:58,532108	-1,851725E-2
01.01.2002  01:20:58,532109	-4,250659E-1	01.01.2002  01:20:58,532110	-1,924233E-2
01.01.2002  01:20:58,532111	-4,144270E-1	01.01.2002  01:20:58,532112	-2,009631E-2
01.01.2002  01:20:58,532113	-4,010479E-1	01.01.2002  01:20:58,532114	-2,086972E-2
01.01.2002  01:20:58,532115	-3,844448E-1	01.01.2002  01:20:58,532116	-2,162702E-2
01.01.2002  01:20:58,532117	-3,651014E-1	01.01.2002  01:20:58,532118	-2,231988E-2
01.01.2002  01:20:58,532119	-3,480148E-1	01.01.2002  01:20:58,532120	-2,298050E-2
01.01.2002  01:20:58,532121	-3,307670E-1	01.01.2002  01:20:58,532122	-2,357668E-2
01.01.2002  01:20:58,532123	-3,120684E-1	01.01.2002  01:20:58,532124	-2,418896E-2
01.01.2002  01:20:58,532125	-2,875668E-1	01.01.2002  01:20:58,532126	-2,475291E-2
01.01.2002  01:20:58,532127	-2,699966E-1	01.01.2002  01:20:58,532128	-2,517184E-2
01.01.2002  01:20:58,532129	-2,456561E-1	01.01.2002  01:20:58,532130	-2,568745E-2
01.01.2002  01:20:58,532131	-2,198650E-1	01.01.2002  01:20:58,532132	-2,604194E-2
01.01.2002  01:20:58,532133	-1,987485E-1	01.01.2002  01:20:58,532134	-2,638030E-2
01.01.2002  01:20:58,532135	-1,737633E-1	01.01.2002  01:20:58,532136	-2,670256E-2
01.01.2002  01:20:58,532137	-1,470049E-1	01.01.2002  01:20:58,532138	-2,689591E-2
01.01.2002  01:20:58,532139	-1,208914E-1	01.01.2002  01:20:58,532140	-2,712149E-2
01.01.2002  01:20:58,532141	-9,574500E-2	01.01.2002  01:20:58,532142	-2,718595E-2
01.01.2002  01:20:58,532143	-6,963144E-2	01.01.2002  01:20:58,532144	-2,729874E-2
01.01.2002  01:20:58,532145	-4,238952E-2	01.01.2002  01:20:58,532146	-2,733096E-2
01.01.2002  01:20:58,532147	-1,514759E-2	01.01.2002  01:20:58,532148	-2,729874E-2
01.01.2002  01:20:58,532149	1,128837E-2	01.01.2002  01:20:58,532150	-2,723428E-2
01.01.2002  01:20:58,532151	3,740194E-2	01.01.2002  01:20:58,532152	-2,712149E-2
01.01.2002  01:20:58,532153	6,109759E-2	01.01.2002  01:20:58,532154	-2,691203E-2
01.01.2002  01:20:58,532155	8,882311E-2	01.01.2002  01:20:58,532156	-2,665422E-2
01.01.2002  01:20:58,532157	1,159039E-1	01.01.2002  01:20:58,532158	-2,638030E-2
01.01.2002  01:20:58,532159	1,397607E-1	01.01.2002  01:20:58,532160	-2,604194E-2
01.01.2002  01:20:58,532161	1,649071E-1	01.01.2002  01:20:58,532162	-2,562300E-2
01.01.2002  01:20:58,532163	1,898923E-1	01.01.2002  01:20:58,532164	-2,513962E-2
01.01.2002  01:20:58,532165	2,143940E-1	01.01.2002  01:20:58,532166	-2,465623E-2
01.01.2002  01:20:58,532167	2,374449E-1	01.01.2002  01:20:58,532168	-2,407617E-2
01.01.2002  01:20:58,532169	2,596898E-1	01.01.2002  01:20:58,532170	-2,352834E-2
01.01.2002  01:20:58,532171	2,808063E-1	01.01.2002  01:20:58,532172	-2,291605E-2
01.01.2002  01:20:58,532173	3,022453E-1	01.01.2002  01:20:58,532174	-2,217486E-2
01.01.2002  01:20:58,532175	3,228782E-1	01.01.2002  01:20:58,532176	-2,151423E-2
01.01.2002  01:20:58,532177	3,391589E-1	01.01.2002  01:20:58,532178	-2,072471E-2
01.01.2002  01:20:58,532179	3,562456E-1	01.01.2002  01:20:58,532180	-1,996740E-2
01.01.2002  01:20:58,532181	3,722039E-1	01.01.2002  01:20:58,532182	-1,916176E-2
01.01.2002  01:20:58,532183	3,880011E-1	01.01.2002  01:20:58,532184	-1,830778E-2
01.01.2002  01:20:58,532185	4,010579E-1	01.01.2002  01:20:58,532186	-1,745380E-2
01.01.2002  01:20:58,532187	4,139535E-1	01.01.2002  01:20:58,532188	-1,655149E-2
01.01.2002  01:20:58,532189	4,247535E-1	01.01.2002  01:20:58,532190	-1,561694E-2
01.01.2002  01:20:58,532191	4,334581E-1	01.01.2002  01:20:58,532192	-1,474685E-2
01.01.2002  01:20:58,532193	4,431298E-1	01.01.2002  01:20:58,532194	-1,376397E-2
01.01.2002  01:20:58,532195	4,479656E-1	01.01.2002  01:20:58,532196	-1,279720E-2
01.01.2002  01:20:58,532197	4,555418E-1	01.01.2002  01:20:58,532198	-1,181432E-2
01.01.2002  01:20:58,532199	4,590881E-1	01.01.2002  01:20:58,532200	-1,089589E-2
01.01.2002  01:20:58,532201	4,605389E-1	01.01.2002  01:20:58,532202	-9,961344E-3
01.01.2002  01:20:58,532203	4,610225E-1	01.01.2002  01:20:58,532204	-8,978462E-3
01.01.2002  01:20:58,532205	4,597329E-1	01.01.2002  01:20:58,532206	-7,979467E-3
01.01.2002  01:20:58,532207	4,600553E-1	01.01.2002  01:20:58,532208	-7,028811E-3
01.01.2002  01:20:58,532209	4,553806E-1	01.01.2002  01:20:58,532210	-6,078154E-3
01.01.2002  01:20:58,532211	4,515119E-1	01.01.2002  01:20:58,532212	-5,143610E-3
01.01.2002  01:20:58,532213	4,439358E-1	01.01.2002  01:20:58,532214	-4,209067E-3
01.01.2002  01:20:58,532215	4,353924E-1	01.01.2002  01:20:58,532216	-3,355087E-3
01.01.2002  01:20:58,532217	4,253983E-1	01.01.2002  01:20:58,532218	-2,468882E-3
01.01.2002  01:20:58,532219	4,142759E-1	01.01.2002  01:20:58,532220	-1,598789E-3
01.01.2002  01:20:58,532221	4,013803E-1	01.01.2002  01:20:58,532222	-7,770350E-4
01.01.2002  01:20:58,532223	3,880011E-1	01.01.2002  01:20:58,532224	4,471914E-5
01.01.2002  01:20:58,532225	3,752666E-1	01.01.2002  01:20:58,532226	8,181348E-4
01.01.2002  01:20:58,532227	3,576964E-1	01.01.2002  01:20:58,532228	1,510986E-3
01.01.2002  01:20:58,532229	3,401261E-1	01.01.2002  01:20:58,532230	2,219951E-3
01.01.2002  01:20:58,532231	3,230394E-1	01.01.2002  01:20:58,532232	2,832238E-3
01.01.2002  01:20:58,532233	3,032124E-1	01.01.2002  01:20:58,532234	3,508977E-3
01.01.2002  01:20:58,532235	2,817735E-1	01.01.2002  01:20:58,532236	4,008475E-3
01.01.2002  01:20:58,532237	2,603346E-1	01.01.2002  01:20:58,532238	4,524085E-3
01.01.2002  01:20:58,532239	2,379285E-1	01.01.2002  01:20:58,532240	5,023583E-3
01.01.2002  01:20:58,532241	2,164895E-1	01.01.2002  01:20:58,532242	5,458629E-3
01.01.2002  01:20:58,532243	1,900535E-1	01.01.2002  01:20:58,532244	5,796999E-3
01.01.2002  01:20:58,532245	1,679698E-1	01.01.2002  01:20:58,532246	6,135368E-3
01.01.2002  01:20:58,532247	1,434682E-1	01.01.2002  01:20:58,532248	6,425399E-3
01.01.2002  01:20:58,532249	1,170322E-1	01.01.2002  01:20:58,532250	6,683204E-3
01.01.2002  01:20:58,532251	9,043506E-2	01.01.2002  01:20:58,532252	6,763768E-3
01.01.2002  01:20:58,532253	6,367671E-2	01.01.2002  01:20:58,532254	6,957122E-3
01.01.2002  01:20:58,532255	3,820792E-2	01.01.2002  01:20:58,532256	6,973235E-3
01.01.2002  01:20:58,532257	1,096598E-2	01.01.2002  01:20:58,532258	6,957122E-3
01.01.2002  01:20:58,532259	-1,401922E-2	01.01.2002  01:20:58,532260	6,924897E-3
01.01.2002  01:20:58,532261	-4,142235E-2	01.01.2002  01:20:58,532262	6,763768E-3
01.01.2002  01:20:58,532263	-6,818069E-2	01.01.2002  01:20:58,532264	6,586527E-3
01.01.2002  01:20:58,532265	-9,461664E-2	01.01.2002  01:20:58,532266	6,473737E-3
01.01.2002  01:20:58,532267	-1,210526E-1	01.01.2002  01:20:58,532268	6,022578E-3
01.01.2002  01:20:58,532269	-1,455542E-1	01.01.2002  01:20:58,532270	5,829224E-3
01.01.2002  01:20:58,532271	-1,698946E-1	01.01.2002  01:20:58,532272	5,458629E-3
01.01.2002  01:20:58,532273	-1,968141E-1	01.01.2002  01:20:58,532274	5,007470E-3
01.01.2002  01:20:58,532275	-2,201874E-1	01.01.2002  01:20:58,532276	4,524085E-3
01.01.2002  01:20:58,532277	-2,448502E-1	01.01.2002  01:20:58,532278	4,056813E-3
01.01.2002  01:20:58,532279	-2,667727E-1	01.01.2002  01:20:58,532280	3,476751E-3
01.01.2002  01:20:58,532281	-2,893399E-1	01.01.2002  01:20:58,532282	2,848351E-3
01.01.2002  01:20:58,532283	-3,098117E-1	01.01.2002  01:20:58,532284	2,187725E-3
01.01.2002  01:20:58,532285	-3,283490E-1	01.01.2002  01:20:58,532286	1,510986E-3
01.01.2002  01:20:58,532287	-3,496267E-1	01.01.2002  01:20:58,532288	7,859091E-4
01.01.2002  01:20:58,532289	-3,652626E-1	01.01.2002  01:20:58,532290	1,249349E-5
01.01.2002  01:20:58,532291	-3,841224E-1	01.01.2002  01:20:58,532292	-7,931478E-4
01.01.2002  01:20:58,532293	-3,983075E-1	01.01.2002  01:20:58,532294	-1,550451E-3
01.01.2002  01:20:58,532295	-4,134598E-1	01.01.2002  01:20:58,532296	-2,468882E-3
01.01.2002  01:20:58,532297	-4,261942E-1	01.01.2002  01:20:58,532298	-3,355087E-3
01.01.2002  01:20:58,532299	-4,386062E-1	01.01.2002  01:20:58,532300	-4,225179E-3
01.01.2002  01:20:58,532301	-4,506958E-1	01.01.2002  01:20:58,532302	-5,143610E-3
01.01.2002  01:20:58,532303	-4,600451E-1	01.01.2002  01:20:58,532304	-6,013703E-3
01.01.2002  01:20:58,532305	-4,645586E-1	01.01.2002  01:20:58,532306	-7,012698E-3
01.01.2002  01:20:58,532307	-4,732631E-1	01.01.2002  01:20:58,532308	-7,979467E-3
01.01.2002  01:20:58,532309	-4,761646E-1	01.01.2002  01:20:58,532310	-8,946236E-3
01.01.2002  01:20:58,532311	-4,801944E-1	01.01.2002  01:20:58,532312	-9,929119E-3
01.01.2002  01:20:58,532313	-4,819676E-1	01.01.2002  01:20:58,532314	-1,087977E-2
01.01.2002  01:20:58,532315	-4,816452E-1	01.01.2002  01:20:58,532316	-1,186266E-2
01.01.2002  01:20:58,532317	-4,818064E-1	01.01.2002  01:20:58,532318	-1,286165E-2
01.01.2002  01:20:58,532319	-4,779377E-1	01.01.2002  01:20:58,532320	-1,374786E-2
01.01.2002  01:20:58,532321	-4,705228E-1	01.01.2002  01:20:58,532322	-1,471463E-2
01.01.2002  01:20:58,532323	-4,674601E-1	01.01.2002  01:20:58,532324	-1,568140E-2
01.01.2002  01:20:58,532325	-4,610123E-1	01.01.2002  01:20:58,532326	-1,655149E-2
01.01.2002  01:20:58,532327	-4,505346E-1	01.01.2002  01:20:58,532328	-1,743769E-2
01.01.2002  01:20:58,532329	-4,403794E-1	01.01.2002  01:20:58,532330	-1,830778E-2
01.01.2002  01:20:58,532331	-4,286121E-1	01.01.2002  01:20:58,532332	-1,917788E-2
01.01.2002  01:20:58,532333	-4,157166E-1	01.01.2002  01:20:58,532334	-1,998352E-2
01.01.2002  01:20:58,532335	-4,000807E-1	01.01.2002  01:20:58,532336	-2,077305E-2
01.01.2002  01:20:58,532337	-3,862179E-1	01.01.2002  01:20:58,532338	-2,153035E-2
01.01.2002  01:20:58,532339	-3,691313E-1	01.01.2002  01:20:58,532340	-2,217486E-2
01.01.2002  01:20:58,532341	-3,520447E-1	01.01.2002  01:20:58,532342	-2,291605E-2
01.01.2002  01:20:58,532343	-3,322177E-1	01.01.2002  01:20:58,532344	-2,348000E-2
01.01.2002  01:20:58,532345	-3,125520E-1	01.01.2002  01:20:58,532346	-2,409229E-2
01.01.2002  01:20:58,532347	-2,904683E-1	01.01.2002  01:20:58,532348	-2,465623E-2
01.01.2002  01:20:58,532349	-2,704801E-1	01.01.2002  01:20:58,532350	-2,512351E-2
01.01.2002  01:20:58,532351	-2,464621E-1	01.01.2002  01:20:58,532352	-2,555855E-2
01.01.2002  01:20:58,532353	-2,235725E-1	01.01.2002  01:20:58,532354	-2,600971E-2
01.01.2002  01:20:58,532355	-2,016500E-1	01.01.2002  01:20:58,532356	-2,628363E-2
01.01.2002  01:20:58,532357	-1,752140E-1	01.01.2002  01:20:58,532358	-2,662200E-2
01.01.2002  01:20:58,532359	-1,478109E-1	01.01.2002  01:20:58,532360	-2,687980E-2
01.01.2002  01:20:58,532361	-1,231481E-1	01.01.2002  01:20:58,532362	-2,707316E-2
01.01.2002  01:20:58,532363	-9,784054E-2	01.01.2002  01:20:58,532364	-2,718595E-2
01.01.2002  01:20:58,532365	-7,204936E-2	01.01.2002  01:20:58,532366	-2,728262E-2
01.01.2002  01:20:58,532367	-4,561341E-2	01.01.2002  01:20:58,532368	-2,728262E-2
01.01.2002  01:20:58,532369	-1,885507E-2	01.01.2002  01:20:58,532370	-2,725040E-2
01.01.2002  01:20:58,532371	5,968941E-3	01.01.2002  01:20:58,532372	-2,720206E-2
01.01.2002  01:20:58,532373	3,256610E-2	01.01.2002  01:20:58,532374	-2,699259E-2
01.01.2002  01:20:58,532375	6,158118E-2	01.01.2002  01:20:58,532376	-2,684758E-2
01.01.2002  01:20:58,532377	8,672758E-2	01.01.2002  01:20:58,532378	-2,660588E-2
01.01.2002  01:20:58,532379	1,123576E-1	01.01.2002  01:20:58,532380	-2,631585E-2
01.01.2002  01:20:58,532381	1,387935E-1	01.01.2002  01:20:58,532382	-2,599360E-2
01.01.2002  01:20:58,532383	1,632952E-1	01.01.2002  01:20:58,532384	-2,562300E-2
01.01.2002  01:20:58,532385	1,857013E-1	01.01.2002  01:20:58,532386	-2,513962E-2
01.01.2002  01:20:58,532387	2,110089E-1	01.01.2002  01:20:58,532388	-2,465623E-2
01.01.2002  01:20:58,532389	2,335762E-1	01.01.2002  01:20:58,532390	-2,406006E-2
01.01.2002  01:20:58,532391	2,548539E-1	01.01.2002  01:20:58,532392	-2,349611E-2
01.01.2002  01:20:58,532393	2,790332E-1	01.01.2002  01:20:58,532394	-2,291605E-2
01.01.2002  01:20:58,532395	2,998273E-1	01.01.2002  01:20:58,532396	-2,222320E-2
01.01.2002  01:20:58,532397	3,190096E-1	01.01.2002  01:20:58,532398	-2,148201E-2
01.01.2002  01:20:58,532399	3,367410E-1	01.01.2002  01:20:58,532400	-2,077305E-2
01.01.2002  01:20:58,532401	3,544725E-1	01.01.2002  01:20:58,532402	-2,003186E-2
01.01.2002  01:20:58,532403	3,710756E-1	01.01.2002  01:20:58,532404	-1,912954E-2
01.01.2002  01:20:58,532405	3,855831E-1	01.01.2002  01:20:58,532406	-1,838835E-2
01.01.2002  01:20:58,532407	4,000907E-1	01.01.2002  01:20:58,532408	-1,745380E-2
01.01.2002  01:20:58,532409	4,139535E-1	01.01.2002  01:20:58,532410	-1,658371E-2
01.01.2002  01:20:58,532411	4,247535E-1	01.01.2002  01:20:58,532412	-1,568140E-2
01.01.2002  01:20:58,532413	4,339417E-1	01.01.2002  01:20:58,532414	-1,477908E-2
01.01.2002  01:20:58,532415	4,428074E-1	01.01.2002  01:20:58,532416	-1,384453E-2
01.01.2002  01:20:58,532417	4,482880E-1	01.01.2002  01:20:58,532418	-1,284554E-2
01.01.2002  01:20:58,532419	4,539299E-1	01.01.2002  01:20:58,532420	-1,191100E-2
01.01.2002  01:20:58,532421	4,576374E-1	01.01.2002  01:20:58,532422	-1,091200E-2
01.01.2002  01:20:58,532423	4,610225E-1	01.01.2002  01:20:58,532424	-9,945231E-3
01.01.2002  01:20:58,532425	4,631180E-1	01.01.2002  01:20:58,532426	-8,978462E-3
01.01.2002  01:20:58,532427	4,597329E-1	01.01.2002  01:20:58,532428	-8,076144E-3
01.01.2002  01:20:58,532429	4,607001E-1	01.01.2002  01:20:58,532430	-7,077149E-3
01.01.2002  01:20:58,532431	4,547358E-1	01.01.2002  01:20:58,532432	-6,110380E-3
01.01.2002  01:20:58,532433	4,487716E-1	01.01.2002  01:20:58,532434	-5,191949E-3
01.01.2002  01:20:58,532435	4,450641E-1	01.01.2002  01:20:58,532436	-4,225179E-3
01.01.2002  01:20:58,532437	4,344253E-1	01.01.2002  01:20:58,532438	-3,338974E-3
01.01.2002  01:20:58,532439	4,279774E-1	01.01.2002  01:20:58,532440	-2,517220E-3
01.01.2002  01:20:58,532441	4,163714E-1	01.01.2002  01:20:58,532442	-1,663240E-3
01.01.2002  01:20:58,532443	4,033146E-1	01.01.2002  01:20:58,532444	-7,770350E-4
01.01.2002  01:20:58,532445	3,896130E-1	01.01.2002  01:20:58,532446	1,249349E-5
01.01.2002  01:20:58,532447	3,781682E-1	01.01.2002  01:20:58,532448	7,859091E-4
01.01.2002  01:20:58,532449	3,601143E-1	01.01.2002  01:20:58,532450	1,510986E-3
01.01.2002  01:20:58,532451	3,422216E-1	01.01.2002  01:20:58,532452	2,236064E-3
01.01.2002  01:20:58,532453	3,238454E-1	01.01.2002  01:20:58,532454	2,880577E-3
01.01.2002  01:20:58,532455	3,065975E-1	01.01.2002  01:20:58,532456	3,492864E-3
01.01.2002  01:20:58,532457	2,843526E-1	01.01.2002  01:20:58,532458	3,992362E-3
01.01.2002  01:20:58,532459	2,642032E-1	01.01.2002  01:20:58,532460	4,588536E-3
01.01.2002  01:20:58,532461	2,417971E-1	01.01.2002  01:20:58,532462	5,039696E-3
01.01.2002  01:20:58,532463	2,177791E-1	01.01.2002  01:20:58,532464	5,474742E-3
01.01.2002  01:20:58,532465	1,931162E-1	01.01.2002  01:20:58,532466	5,829224E-3
