waveform	[0]		[1]	
t0	01.01.2002  01:07:02,420203		01.01.2002  01:07:02,420204	
delta t	2,000000E-6		2,000000E-6	

time[0]	Y[0]	time[1]	Y[1]
01.01.2002  01:07:02,420203	-2,651607E-1	01.01.2002  01:07:02,420204	1,709209E-2
01.01.2002  01:07:02,420205	-2,748324E-1	01.01.2002  01:07:02,420206	1,651203E-2
01.01.2002  01:07:02,420207	-2,874056E-1	01.01.2002  01:07:02,420208	1,588363E-2
01.01.2002  01:07:02,420209	-2,972385E-1	01.01.2002  01:07:02,420210	1,520689E-2
01.01.2002  01:07:02,420211	-3,085221E-1	01.01.2002  01:07:02,420212	1,456238E-2
01.01.2002  01:07:02,420213	-3,175490E-1	01.01.2002  01:07:02,420214	1,383730E-2
01.01.2002  01:07:02,420215	-3,268983E-1	01.01.2002  01:07:02,420216	1,316056E-2
01.01.2002  01:07:02,420217	-3,373759E-1	01.01.2002  01:07:02,420218	1,245160E-2
01.01.2002  01:07:02,420219	-3,455969E-1	01.01.2002  01:07:02,420220	1,169429E-2
01.01.2002  01:07:02,420221	-3,552686E-1	01.01.2002  01:07:02,420222	1,096922E-2
01.01.2002  01:07:02,420223	-3,647790E-1	01.01.2002  01:07:02,420224	1,021191E-2
01.01.2002  01:07:02,420225	-3,726776E-1	01.01.2002  01:07:02,420226	9,390160E-3
01.01.2002  01:07:02,420227	-3,797702E-1	01.01.2002  01:07:02,420228	8,584518E-3
01.01.2002  01:07:02,420229	-3,876687E-1	01.01.2002  01:07:02,420230	7,762764E-3
01.01.2002  01:07:02,420231	-3,946001E-1	01.01.2002  01:07:02,420232	6,973235E-3
01.01.2002  01:07:02,420233	-4,021762E-1	01.01.2002  01:07:02,420234	6,103142E-3
01.01.2002  01:07:02,420235	-4,099136E-1	01.01.2002  01:07:02,420236	5,249162E-3
01.01.2002  01:07:02,420237	-4,179733E-1	01.01.2002  01:07:02,420238	4,346844E-3
01.01.2002  01:07:02,420239	-4,253883E-1	01.01.2002  01:07:02,420240	3,444526E-3
01.01.2002  01:07:02,420241	-4,313525E-1	01.01.2002  01:07:02,420242	2,590546E-3
01.01.2002  01:07:02,420243	-4,340928E-1	01.01.2002  01:07:02,420244	1,704340E-3
01.01.2002  01:07:02,420245	-4,398958E-1	01.01.2002  01:07:02,420246	7,375707E-4
01.01.2002  01:07:02,420247	-4,473107E-1	01.01.2002  01:07:02,420248	-1,808604E-4
01.01.2002  01:07:02,420249	-4,516630E-1	01.01.2002  01:07:02,420250	-1,099291E-3
01.01.2002  01:07:02,420251	-4,558540E-1	01.01.2002  01:07:02,420252	-2,033835E-3
01.01.2002  01:07:02,420253	-4,584332E-1	01.01.2002  01:07:02,420254	-2,936154E-3
01.01.2002  01:07:02,420255	-4,610123E-1	01.01.2002  01:07:02,420256	-3,902923E-3
01.01.2002  01:07:02,420257	-4,658481E-1	01.01.2002  01:07:02,420258	-4,853580E-3
01.01.2002  01:07:02,420259	-4,682660E-1	01.01.2002  01:07:02,420260	-5,820349E-3
01.01.2002  01:07:02,420261	-4,719735E-1	01.01.2002  01:07:02,420262	-6,787118E-3
01.01.2002  01:07:02,420263	-4,747138E-1	01.01.2002  01:07:02,420264	-7,721662E-3
01.01.2002  01:07:02,420265	-4,768094E-1	01.01.2002  01:07:02,420266	-8,656206E-3
01.01.2002  01:07:02,420267	-4,774541E-1	01.01.2002  01:07:02,420268	-9,655201E-3
01.01.2002  01:07:02,420269	-4,795497E-1	01.01.2002  01:07:02,420270	-1,060586E-2
01.01.2002  01:07:02,420271	-4,777765E-1	01.01.2002  01:07:02,420272	-1,165319E-2
01.01.2002  01:07:02,420273	-4,824512E-1	01.01.2002  01:07:02,420274	-1,253940E-2
01.01.2002  01:07:02,420275	-4,805168E-1	01.01.2002  01:07:02,420276	-1,355450E-2
01.01.2002  01:07:02,420277	-4,830959E-1	01.01.2002  01:07:02,420278	-1,447293E-2
01.01.2002  01:07:02,420279	-4,805168E-1	01.01.2002  01:07:02,420280	-1,542359E-2
