waveform	[0]		[1]	
t0	01.01.2002  01:20:35,762723		01.01.2002  01:20:35,762724	
delta t	2,000000E-6		2,000000E-6	

time[0]	Y[0]	time[1]	Y[1]
01.01.2002  01:20:35,762723	-3,347968E-1	01.01.2002  01:20:35,762724	-2,468846E-2
01.01.2002  01:20:35,762725	-3,181938E-1	01.01.2002  01:20:35,762726	-2,534908E-2
01.01.2002  01:20:35,762727	-2,999788E-1	01.01.2002  01:20:35,762728	-2,588081E-2
01.01.2002  01:20:35,762729	-2,811190E-1	01.01.2002  01:20:35,762730	-2,633197E-2
01.01.2002  01:20:35,762731	-2,616144E-1	01.01.2002  01:20:35,762732	-2,684758E-2
01.01.2002  01:20:35,762733	-2,409815E-1	01.01.2002  01:20:35,762734	-2,728262E-2
01.01.2002  01:20:35,762735	-2,195426E-1	01.01.2002  01:20:35,762736	-2,765322E-2
01.01.2002  01:20:35,762737	-1,979425E-1	01.01.2002  01:20:35,762738	-2,803992E-2
01.01.2002  01:20:35,762739	-1,752140E-1	01.01.2002  01:20:35,762740	-2,831384E-2
01.01.2002  01:20:35,762741	-1,547423E-1	01.01.2002  01:20:35,762742	-2,858776E-2
01.01.2002  01:20:35,762743	-1,300795E-1	01.01.2002  01:20:35,762744	-2,878111E-2
01.01.2002  01:20:35,762745	-1,086406E-1	01.01.2002  01:20:35,762746	-2,891002E-2
01.01.2002  01:20:35,762747	-8,333300E-2	01.01.2002  01:20:35,762748	-2,903892E-2
01.01.2002  01:20:35,762749	-6,205529E-2	01.01.2002  01:20:35,762750	-2,908726E-2
01.01.2002  01:20:35,762751	-3,739248E-2	01.01.2002  01:20:35,762752	-2,907114E-2
01.01.2002  01:20:35,762753	-1,418042E-2	01.01.2002  01:20:35,762754	-2,907114E-2
01.01.2002  01:20:35,762755	7,903279E-3	01.01.2002  01:20:35,762756	-2,897447E-2
01.01.2002  01:20:35,762757	3,240490E-2	01.01.2002  01:20:35,762758	-2,879723E-2
01.01.2002  01:20:35,762759	5,416621E-2	01.01.2002  01:20:35,762760	-2,858776E-2
01.01.2002  01:20:35,762761	7,899022E-2	01.01.2002  01:20:35,762762	-2,839441E-2
01.01.2002  01:20:35,762763	1,028471E-1	01.01.2002  01:20:35,762764	-2,813660E-2
01.01.2002  01:20:35,762765	1,250920E-1	01.01.2002  01:20:35,762766	-2,776601E-2
