waveform	[0]		[1]	
t0	01.01.2002  01:14:24,115466		01.01.2002  01:14:24,115467	
delta t	2,000000E-6		2,000000E-6	

time[0]	Y[0]	time[1]	Y[1]
01.01.2002  01:14:24,115466	-3,725164E-1	01.01.2002  01:14:24,115467	5,716434E-3
01.01.2002  01:14:24,115468	-3,834776E-1	01.01.2002  01:14:24,115469	4,894680E-3
01.01.2002  01:14:24,115470	-3,958896E-1	01.01.2002  01:14:24,115471	4,137377E-3
01.01.2002  01:14:24,115472	-4,036270E-1	01.01.2002  01:14:24,115473	3,202833E-3
01.01.2002  01:14:24,115474	-4,105583E-1	01.01.2002  01:14:24,115475	2,429417E-3
01.01.2002  01:14:24,115476	-4,216808E-1	01.01.2002  01:14:24,115477	1,527099E-3
01.01.2002  01:14:24,115478	-4,266778E-1	01.01.2002  01:14:24,115479	6,731194E-4
01.01.2002  01:14:24,115480	-4,360271E-1	01.01.2002  01:14:24,115481	-2,936502E-4
01.01.2002  01:14:24,115482	-4,427973E-1	01.01.2002  01:14:24,115483	-1,147630E-3
01.01.2002  01:14:24,115484	-4,468271E-1	01.01.2002  01:14:24,115485	-2,098287E-3
01.01.2002  01:14:24,115486	-4,534361E-1	01.01.2002  01:14:24,115487	-3,016718E-3
01.01.2002  01:14:24,115488	-4,603675E-1	01.01.2002  01:14:24,115489	-3,919036E-3
01.01.2002  01:14:24,115490	-4,624630E-1	01.01.2002  01:14:24,115491	-4,934144E-3
01.01.2002  01:14:24,115492	-4,682660E-1	01.01.2002  01:14:24,115493	-5,868687E-3
01.01.2002  01:14:24,115494	-4,714899E-1	01.01.2002  01:14:24,115495	-6,787118E-3
01.01.2002  01:14:24,115496	-4,745526E-1	01.01.2002  01:14:24,115497	-7,770000E-3
01.01.2002  01:14:24,115498	-4,756810E-1	01.01.2002  01:14:24,115499	-8,785108E-3
01.01.2002  01:14:24,115500	-4,806780E-1	01.01.2002  01:14:24,115501	-9,719652E-3
01.01.2002  01:14:24,115502	-4,806780E-1	01.01.2002  01:14:24,115503	-1,063808E-2
01.01.2002  01:14:24,115504	-4,839019E-1	01.01.2002  01:14:24,115505	-1,162096E-2
01.01.2002  01:14:24,115506	-4,832571E-1	01.01.2002  01:14:24,115507	-1,261996E-2
01.01.2002  01:14:24,115508	-4,814840E-1	01.01.2002  01:14:24,115509	-1,360284E-2
01.01.2002  01:14:24,115510	-4,810004E-1	01.01.2002  01:14:24,115511	-1,452127E-2
01.01.2002  01:14:24,115512	-4,769705E-1	01.01.2002  01:14:24,115513	-1,550415E-2
01.01.2002  01:14:24,115514	-4,743914E-1	01.01.2002  01:14:24,115515	-1,645481E-2
01.01.2002  01:14:24,115516	-4,727795E-1	01.01.2002  01:14:24,115517	-1,737324E-2
01.01.2002  01:14:24,115518	-4,711675E-1	01.01.2002  01:14:24,115519	-1,837224E-2
01.01.2002  01:14:24,115520	-4,653645E-1	01.01.2002  01:14:24,115521	-1,917788E-2
01.01.2002  01:14:24,115522	-4,597227E-1	01.01.2002  01:14:24,115523	-2,012853E-2
01.01.2002  01:14:24,115524	-4,564988E-1	01.01.2002  01:14:24,115525	-2,101474E-2
01.01.2002  01:14:24,115526	-4,489227E-1	01.01.2002  01:14:24,115527	-2,191706E-2
01.01.2002  01:14:24,115528	-4,419913E-1	01.01.2002  01:14:24,115529	-2,273881E-2
01.01.2002  01:14:24,115530	-4,374779E-1	01.01.2002  01:14:24,115531	-2,359279E-2
01.01.2002  01:14:24,115532	-4,303853E-1	01.01.2002  01:14:24,115533	-2,447899E-2
01.01.2002  01:14:24,115534	-4,224867E-1	01.01.2002  01:14:24,115535	-2,523629E-2
01.01.2002  01:14:24,115536	-4,145882E-1	01.01.2002  01:14:24,115537	-2,607416E-2
01.01.2002  01:14:24,115538	-4,050777E-1	01.01.2002  01:14:24,115539	-2,681535E-2
01.01.2002  01:14:24,115540	-3,950837E-1	01.01.2002  01:14:24,115541	-2,754043E-2
01.01.2002  01:14:24,115542	-3,879911E-1	01.01.2002  01:14:24,115543	-2,826550E-2
01.01.2002  01:14:24,115544	-3,742895E-1	01.01.2002  01:14:24,115545	-2,900669E-2
01.01.2002  01:14:24,115546	-3,647790E-1	01.01.2002  01:14:24,115547	-2,969954E-2
